text,label
N.Korean Defectors with Weapons in the S.Korean Embassy in China. It was reported on September 30 that the South Korean government is aggressively reviewing ways of a conditional handover to China of North Korean defectors who used weapons or violence to enter the Korean Embassy in China.,World
Iraq's kidnapping crisis deepens. Two Egyptians are seized in Baghdad as anguish mounts in the UK and Italy over their kidnapped nationals.,World
Steak N Shake Doubles 4th-Qtr. Earnings. Casual dining chain Steak n Shake Co. reported Wednesday that fourth-quarter earnings doubled while same-store sales of company-owned restaurants increased for the period.,Business
"Trend Micro #39;s Free Mobile Anti-Virus. Anticipating an avalanche of smartphones and PDA #39;s during the gift-giving season, Trend Micro today released a free trial of its mobile anti-virus (AV) product.",Sci/Tech
"SalesLogix and Salesforce.com Expand Their Customer Service &lt;b&gt;...&lt;/b&gt;. Two leading midmarket CRM vendors released expansions of their platforms this week, branching further into the service side of CRM.",Sci/Tech
"Iran: Concessions equal in agreement with EU. A top Iranian nuclear negotiator on Wednesday counterattacked hardliners #39; criticism on a nuclear agreement reached between Iran and the European Union (EU), terming concessions as equal.",World
"Pilot accord might aid Delta. ATLANTA -- The battered shares of Delta Air Lines Inc. surged nearly 9 percent yesterday after its pilots agreed to salary cuts to try to help the ailing carrier avoid bankruptcy, but their new contract offers no guarantees for the company's future.",Business
"Bills for Domestic Programs, Disaster Relief Get Support. Faced with pressures to deal with a spate of unanticipated natural disasters as well as with the election-year needs of dozens of key constituencies, Congress moved this week ",Sci/Tech
"US-European Mission To Solve Mystery Of Saturn #39;s Enigmatic Moon. A US-European spacecraft is preparing to explore the planet Saturn #39;s huge moon, Titan. The  quot;Cassini-Huygens quot; spacecraft that has orbited the ringed planet since July is to venture within 1,200 kilometers of the cloud-covered moon on 26 October.",Sci/Tech
"Rice, Al huddle on receiver #39;s options. After listening to Jerry Rice spend two days talking about his desire to move on to a team that will better utilize his services, the Oakland Raiders got the message Wednesday.",Sports
Researchers to Study Yellowstone Cutthroat (AP). AP - Researchers from the University of Wyoming are trying to determine why the cutthroat trout population in Yellowstone National Park continues to decline and what steps can be taken to preserve the native fish.,Sci/Tech
"Annual ranking of  #39;most dangerous #39; cities. TRENTON, NJ Camden, New Jersey, has become the nation #39;s most-dangerous city, according to a Kansas company #39;s yearly ranking based on crime statistics.",Business
Old TV shows never die... (USATODAY.com). USATODAY.com - Consumers are snatching up old and new TV favorites on DVD as quickly as studios can release them. TV shows on DVD are one of the fastest-growing trends in the home video business.,Sci/Tech
"Siemens and Skype Combine to Offer Internet Telephony. Skype #39;s free Internet telephony software works with Siemens phones via the Gigaset M34 USB adapter, an open interface adapter that is plugged into the USB connection point of a users #39; PC.",Sci/Tech
"BHP Billiton Approved \$990m Copper Project in Chile. BHP Billiton today announced the approval of the US\$990 million Spence Copper Project in northern Chile. The project will have a designed capacity to produce 200,000 tonnes of copper cathode per annum and will have a mine life of 19 years.",Business
Italy's green primary school. A village in the Ligurian hills is home to one of Italy's first envrionmentally friendly schools.,Business
"Google #39;s index expands and Gmail goes POP. In a posting on the company #39;s own blog on Wednesday, Bill Coughran, vice-president of engineering, announced that Google #39;s index now exceeds eight billion pages.",Sci/Tech
"America #39;s great hope in 1,500 can #39;t make it out of first round. Alan Webb, who was supposed to end America #39;s streak of mediocrity in middle-distance races, got outmaneuvered and outrun as he failed to make it out of the preliminary round in the 1,500 meters. ",Sports
Cheney Meets With Troops in Afghanistan. Vice President Dick Cheney (website - news - bio) congratulated US troops for helping give democracy a chance to take root in Afghanistan.,World
"First commercial passenger flights into space?. A British multimillionaire, Richard Branson, has just signed a substantial contract with the makers of SpaceShipOne for the development and construction of passenger-carrying space vehicles.",Sci/Tech
"Williams to Fight World Champion Klitschko in New York.  LONDON (Reuters) - World Boxing Council (WBC) heavyweight  champion Vitali Klitschko will defend his title against  Britain's Danny Williams in New York on December 11, Williams's  promoter said on Thursday.",Sports
ICANN Negotiates New Domains. Internet users may soon see two new domain name suffixes in their browser window:  quot;.post quot; to identify the postal community and  quot;.,Sci/Tech
"Terrorists Explore Lasers as Weapons, U.S. Warns. Federal officials are concerned that terrorists could try to down aircraft by blinding pilots with laser beams during landing approaches.",Sci/Tech
"Diamondbacks Hire Backman As New Manager. After being introduced as the new manager of the Arizona Diamondbacks, Wally Backman, left, is handed his game jersey by Arizona general manager Joe Garagiola Jr.",Sports
"Yukos saga gives pause to foreign investors in Russia: IMF &lt;b&gt;...&lt;/b&gt;. MOSCOW : The Russian government #39;s assault on oil giant Yukos is a source of concern that could impact foreign investment in the country, a senior International Monetary Fund official warned.",Business
"Coming soon: full-scale DVD format war. TOKYO - A full-scale war over DVD formats is only a matter of time - the electronics industry can smell it in the air. As the two opposing camps continue to recruit allies, negotiations are no longer about averting a confrontation.",Sci/Tech
"A vote for Bush. The Heisman Trophy comes with wings, a tail, a flight crew and jet engines. Boeing and Airbus are fighting over its manufacturing rights.",Sports
"REVIEW: Microsoft Print Reader Delivers (AP). AP - Spend time online and odds are you'll have to type a username and password to check your e-mail, access your bank account or read a newspaper story.",Sci/Tech
"Former CA chief indicted; company reaches accord. Computer Associates International #39;s former chief executive was indicted on criminal charges related to fraudulent accounting practices, and the company on Wednesday agreed to pay \$225 million to settle with federal prosecutors.",Business
"Sony Agrees to Buy MGM for Nearly \$5 Bln. A bidding group headlined by Sony Corp. (6758.T: Quote, Profile, Research) agreed in principle to buy Hollywood film studio Metro-Goldwyn-Mayer (MGM.",Business
"Investors bolster takeover by Oracle. Bolstered by investors, Oracle Corp. appears destined to complete its long-sought takeover of PeopleSoft Inc. unless its rival becomes more profitable and proves it is worth more than the \$9.2 billion bid currently on the table.",Business
"NASA Head OKeefe--Louisiana Bound?. Louisiana State University may be the next stop for the National Aeronautics and Space Administration Chief Administrator, Sean OKeefe, 48 years old.",Sci/Tech
Officials Search al-Qaida Video for Clues (AP). AP - U.S. intelligence officials are studying the latest video from Osama bin Laden's top deputy to learn if the message is simply to rally al-Qaida's faithful  #151; or if it's an indication of events to come.,World
"Winky repeats over Shane. It was much closer than the first time, but the result was the same when Winky Wright and Shane Mosley left the ring at the Mandalay Bay Event Center last night.",Sports
"Tony Blair To Undergo Surgery. British Prime Minister Tony Blair said he would undergo a routine operation Friday to correct an irregular heartbeat. Blair announced the plans for the medical procedure Thursday night, just hours after ",World
Humane Society opens case against Japan whaling in Australian &lt;b&gt;...&lt;/b&gt;. SYDNEY - Humane Society International opened legal proceedings in Australian Federal Courts on Tuesday against a Japanese whaling fleet that it charges has killed more than 400 minke whales within Australia #39;s whale sanctuary over the past four years.,World
"Telenor urges fair regulatory system in Thailand (FT.com). FT.com - Telenor, the Norwegian telecommunications company, on Thursday called for ""a level-playing field"" in Thailand's mobile industry, urging a newly-established Thai telecoms regulator swiftly to create a fair new interconnection regime.",Sci/Tech
"After the Bell: Shares of Synopsys Tumble.  NEW YORK (Reuters) - Shares of Synopsys Inc. &lt;A HREF=""http://www.investor.reuters.com/FullQuote.aspx?ticker=SNPS.O target=/stocks/quickinfo/fullquote""&gt;SNPS.O&lt;/A&gt;  tumbled on Wednesday after the semiconductor design software  maker reported lower third-quarter net income and said  fourth-quarter earnings and revenues would be below Wall Street  estimates.",Business
"third quarter piles up losses for insurers. New York - The property insurance industry sustained record third-quarter losses this year after a series of storms, according to an actuarial firm #39;s preliminary estimate.",Business
"Baseball: Boston clinches fourth playoff berth since 1998. ST. PETERSBURG, United States : Manny Ramirez hit a two run home run in the fifth inning and Johnny Damon added a three run homer as the Boston Red Sox clinched their second straight post-season berth with a 7-3 win over Tampa.",Sports
"Strong quake hits western Japan. An earthquake with a magnitude of 6.8 shakes western Japan, reportedly making tall buildings sway in Tokyo.",World
"Update 1: American Greetings Returns to Profit in 2Q. Licensing income helped boost American Greetings Corp. to a profit in its second quarter, even though sales at the greeting cards maker were flat.",Business
Looming changes may spark gate war at Logan. The already cutthroat competition for passengers and market share at Logan International Airport is likely to get even more heated over the next several months.,Business
"Burrell Back in Lineup for Philadelphia (AP). AP - Philadelphia left fielder Pat Burrell was in the lineup and batting sixth against the New York Mets on Friday, less than six weeks after his season appeared over because of a wrist injury.",Sports
"Frist: Specter Must Prove Himself for Post (AP). AP - Sen. Arlen Specter must prove to his Republican colleagues that he is the right man to head the Senate Judiciary Committee in the next Congress, Senate Majority Leader Bill Frist said Sunday.",World
Bush-Yawar firm on Iraq poll date. BAGHDAD: The presidents of Iraq and the United States pledged yesterday there would be no delay to landmark elections on January 30 despite a flare-up of violence that left about 100 dead in three days.,World
China Sighs in Relief as Yao Scores High.  BEIJING (Reuters) - China breathed a measured sigh of  relief after the skills of its basketball giant Yao Ming  dwarfed New Zealand to sweep his team nearer to their goal of  reaching the Athens Olympics semi-finals.,Sports
"Dell Opens Support Center in China (AP). AP - Dell Inc. says it opened a new support center this week in Xiamen, China, for business customers who buy servers and storage equipment.",Sci/Tech
"Gymnastics #39; pettiness is all-around. ATHENS, Greece -- If international gymnastics is a brick house, the mortar holding it together is a conglomerate of finger-pointing, dubious judging, scandal, complaining and bald-faced weeping.",Sports
"Work to be done in time off. FOXBOROUGH -- The Patriots pulled within one game of the NFL record for consecutive victories with a 23-12 win over the Cardinals Sunday, but coach Bill Belichick was not satisfied with the team's performance.",Sports
Glazer #39;s own-goal at Man U. SHARES in Manchester United will come under pressure after the apparent collapse of a controversial 780m bid by American sports mogul Malcolm Glazer.,Sports
Ispat in \$4.5bn deal to form biggest steel firm. London - Indian-born billionaire Lakshmi Mittal has agreed to acquire the US #39;s International Steel Group for about \$4.5 billion (R27.,Business
"In Autism, New Goal Is Finding It Soon Enough to Fight It. Across the country, thousands of toddlers are joining studies that could signal new hope for a baffling childhood disorder.",World
"U.S. Study Says Sage Grouse Not Endangered (Reuters). Reuters - A government study has concluded the\greater sage grouse is not an endangered species, a finding\ranching and oil and gas interests in the West had lobbied hard\for, a congressional spokesman said on Friday.",Sci/Tech
"FPL struggling to get lights back on for customers. Florida Power  amp; Light Co. was only able to restore power to 45,400 customers in Palm Beach County between Sunday morning and Monday afternoon.",Business
"India debates manned space flight. BANGALORE (AFP) - India #39;s space agency is ready to send a man to space within seven years if the government gives the nod, while preparations have already begun for the launch of an unmanned lunar mission, a top official said.",Sci/Tech
"Population decline? It's the economy, stupid. In the year that ended June 30, 2004, Massachusetts was the only state in the country that lost population -- 3,852 people to be exact. So here is my question: Are we Sweden or North Dakota?",Business
"10 Red Sox Players File for Free Agency. World Champion Boston Red Sox team member Derek Lowe, second from left, picks confetti from the hair of Jay Leno as Mike Timlin, far left, Alan Embree, David Ortiz and Dave Roberts, far right, look on during their visit to the Tonight Show with Jay Leno ",Sports
"INDUSTRY REPORT: Aviation -- US Airways to cut pay. US Airways announced plans to cut \$45 million a year in pay and benefits to roughly 3,700 management employees, a move the airline hopes will convince its union employees to collectively accept \$950 million in annual cost cuts.",Business
"The Lessons of Beslan for Russia and the World. It is the nature of terrorism that every time one thinks there is a limit to the depths to which terrorists can sink, they contrive even baser atrocities.",World
"Foreign aid workers in Iraq plan pull out:. World News Baghdad, Sep 9 : Foreign aid workers in Iraq are planning to leave the war-torn country since the kidnapping of two Italian women aid workers, Xinhua reports Thursday.",World
Chelsea lodge complaint with Uefa. Chelsea have lodged a complaint with Uefa after up to 50 fans were barred from the ground in their Champions League clash with CSKA Moscow.,Sports
"Pakistan officials tout victory. Pakistani officials declared an important victory against al-Qaida yesterday after police shot dead Amjad Farooqi, who was suspected of roles in the execution of Wall ",World
Roma coach Voeller resigns. Rudi Voeller offered to resign as coach of first division club AS Roma after just 26 days in charge following a 3-1 defeat by nine-man Bologna on Saturday.,Sports
Home Office seeks spin doctor to sell cuddly ID card brand. An ID card says something about a man. Oh yes...,Sci/Tech
Meteor shower peaks tonight. The Geminid meteor shower is one of the annual meteor showers that pull professional and amateur astronomers alike out into the cold night air.,Sci/Tech
"Iran promises to meet nuke deadline. Iran has promised to suspend its nuclear enrichment program by Monday #39;s deadline, the BBC reported. The head of Iran #39;s nuclear energy organization said work would stop at two ",World
"Charles tries to pacify subjects. : Britains Prince Charles, under fire for being old fashioned and elitist, battled today to convince his future subjects he is not out of touch.",World
"Phelps' Quest to Win 8 Gold Medals Ends (AP). AP - Michael Phelps surely didn't bargain for this. His quest to win eight gold medals is over, doomed by America's worst showing in the 400-meter freestyle relay. Gary Hall Jr. is ticked off. And now comes the toughest race of all against Ian Thorpe. Not exactly what Phelps had in mind when he decided to challenge Mark Spitz.",Sports
"Taiwan AU's profit shrink sharply in third quarter amid dim outlook (AFP). AFP - AU Optronics Corp, the world's third largest flat-panel maker, said its net profit in the third quarter plunged to 4.13 billion Taiwan dollars (122.6 million US) from 14.39 billion in the second.",Sci/Tech
"MSN Search Beta Not Ranking MSN Search Blog. MSN Search Beta Not Ranking MSN Search Blog\\Ok, I lied in the title of the thread (original title was ""penalizing MSN Search Blog""), but it did get you to click over from your RSS feed aggregator, didn't it? ;) But there is some truth to this title, MSN Search Beta ...",Sci/Tech
"PeopleSoft CEO Conway maintains defiant tone. At the company's Connect 2004 event today, PeopleSoft CEO Craig Conway maintained the defiant tone he has struck throughout Oracle's 15-month campaign to win control of the company.",Sci/Tech
"Symantec may buy Veritas for over \$13 billion. Security software company Symantecis negotiating to buy storage software vendor Veritas Softwarefor more than \$13 billion, according to a report published Tuesday by The New York Times.",Sci/Tech
"Oracle wins right to pursue rival (USATODAY.com). USATODAY.com - A federal judge Thursday rejected the federal government's request to block Oracle's  (ORCL)  #36;7.7 billion hostile takeover bid for software rival PeopleSoft (PSFT), removing a major hurdle to one of the biggest mergers in Silicon Valley history.",Sci/Tech
"Stewart in good spirits #39; at prison camp, staffer says. Martha Stewart was the picture of loneliness Saturday as she explored the grounds of her new home - a federal prison camp in West Virginia.",Business
Smolinski helps US get in win column. A couple of players who weren #39;t able to crack the US lineup when the World Cup began earlier this week helped propel the Americans to victory in a game they had no choice but to win.,Sports
"Loss Behind Them, Eagles Dominate Again (AP). AP - Donovan McNabb and Terrell Owens went back to describing touchdown patterns instead of explaining sideline confrontations.",Sports
Rangers slip up in Holland. Rangers fall to second in Uefa Cup group F after losing 1-0 away to Dutch side AZ Alkmaar. The home side looked impressive as their slick passing opened up the Rangers defence early on allowing Danny Landzaat to fire home past Stefan Klos.,Sports
Cisco to Open Tokyo Research Center. Internet networking giant Cisco Systems Inc. on Thursday said it plans to open a research and development center in Tokyo in February.,Sci/Tech
"Minaya's First Move With the Mets Is to Clean House. Omar Minaya, the Mets' new general manager, fired or reassigned every coach on Wednesday except for Rick Peterson, the club's highly touted pitching coach.",Sports
"Iraqis Probe Reports of Al-Douri's Arrest. BAGHDAD, Iraq - Iraqi authorities struggled on Monday to clear up confusion over whether the most wanted member of Saddam Hussein's ousted dictatorship had been nabbed in a shootout north of Baghdad.    Also Monday, a massive car bomb exploded on the outskirts of Fallujah killing and wounding several U.S...",World
"Google offers book search service. Google is launching a new service to make books and other printed materials searchable online, the Internet search engine company said Wednesday.",Sci/Tech
"Bobcats activate two from injured list. Charlotte, NC (Sports Network) - The Charlotte Bobcats Monday activated guard Keith Bogans and forward/center Jamal Sampson from the injured list.",Sports
"EU, Turkey Agree Terms of Entry Talks - EU Official.  BRUSSELS (Reuters) - European Union leaders and Turkey  agreed on Friday the terms on which Ankara will start  membership talks with the bloc next October, an EU government  official said.",World
Oil Prices Fall Despite OPEC Output Cut. Oil prices fell to four-month lows on Friday even though the Organization of Petroleum Exporting Countries moved to curb production above its official 27 million barrel-per-day output ceiling.,Business
"Infineon Execs Plead Guilty in DRAM Price-Fixing, Face Jail Time. Four executives at Infineon Technologies AG and its US subsidiary, Infineon Technologies North America Corp., are to plead guilty to participating in an international conspiracy to fix prices in the DRAM market, the US Department of Justice (DoJ) said ",Sci/Tech
"FTSE bounces as BHP buoys miners. The FTSE 100 index has reclaimed some of its recent losses, led higher by BHP Billiton and Allied Domecq after upbeat news from both.",Business
School siege death toll climbs to 350. VLADIKAVKAZ - The death toll from Russia #39;s school hostage crisis climbed to at least 350 yesterday as grieving relatives prepared to bury the first victims while others sifted through overwhelmed morgues for their lost loved ones.,World
"US forces target seven Iraqi mosques. Iraqi soldiers and US troops Tuesday targeted seven mosques in Ramadi in a bid to roust insurgents and their weaponry, CNN reported.",World
"Iran Seeks to Loosen Some Restrictions. Tehran is now demanding the right to run some key equipment for research purposes, European and Iranian officials said.",World
"U.S. Treasury Debt Prices Slip.  CHICAGO (Reuters) - U.S. Treasury debt prices slipped on  Friday after a key consumer sentiment report was not as weak as  some dealers had suspected, triggering some profit-taking after  Thursday's brisk rally.",Business
Greg sails into last eight. Greg Rusedski brushed aside American Matias Boeker in straight sets to reach the quarter-finals of the ATP Millennium International tournament in Florida.,Sports
"Regulators to Widen Mutual Fund Probe (Reuters). Reuters - Misconduct in the U.S. mutual fund\industry is not limited to fund share trading; it's not even\limited to funds, say market regulators.",Business
"Young Haas has been able to answer call. NORTON -- They traded phone calls, father and son, but never made connections Saturday night. Jay Haas, calling from Pebble Beach, Calif., ended up leaving a voice mail message, and Bill Haas still had his father's wisdom playing in his head when he approached the first tee yesterday in Round 3 of the Deutsche Bank Championship at TPC Boston. The ...",Sports
"Birding Column: Backyard Bathing Beauties. Birder Mathew Tekulsky describes the bathing habits of birds, explaining the dependence of birds on water.",Sci/Tech
American Airlines Defers Aircraft Delivery. American Airlines reported Monday that it will defer the delivery of 54 aircraft in order to postpone capital spending and allow the airline more flexibility in its restructuring.,Business
"With anti-terror pledge Indonesian challenger set to win presidential election (Canadian Press). Canadian Press - JAKARTA, Indonesia (AP) - A former general who has pledged to get tough on terrorism and fix the economy was headed for a landslide win over incumbent President Megawati Sukarnoputri in Indonesia's landmark elections Monday, according to a nationwide sampling of votes.",World
"U.S. Faces Growing Feral Cat Problem. Millions of feral cats #151;domestic animals that have become wild #151;are said to be running free throughout the U.S., threatening birds and public health.",Sci/Tech
"ING Names Business Units in Trade Woes. ING Groep NV has disclosed new details of trading improprieties in its mutual funds and variable-insurance products, but research firm Morningstar Inc.",Business
"NYSAC chairman:  #39;It #39;s time the bleeding stopped #39;. Even though he was dominated by Larry Donald on Saturday night at Madison Square Garden, former heavyweight champion Evander Holyfield said he planned to keep boxing.",Sports
"UPDATE 1-Singh turns up heat on joint leaders Lehman, Baird. World number one and defending champion Vijay Singh was stalking joint leaders Tom Lehman and Briny Baird after the third round of the \$4.",Sports
"Oil Slides Another Dollar to 11-Week Low.  LONDON (Reuters) - Oil prices tumbled to an 11-week low  below \$45 a barrel on Thursday, deepening a dramatic slide  after an increase in U.S. heating oil stocks eased worries of a  winter supply squeeze.",Business
"Atlas Copco to Sell Electric Tool Business. STOCKHOLM, Sweden - Swedish engineering company Atlas Copco Group is selling its electric tool business which includes Milwaukee Electric Tool in the United States to Hong Kong-based Techtronic Industries Co.",Business
"Bobble by Mohr costs Giants game. SAN FRANCISCO - Dustan Mohr of the San Francisco Giants sat in front of his locker with his head buried in his hands. Even in a new ballpark, right field in San Francisco remains treacherous territory.",Sports
"The Collapse of Kobe. Kobe Bryant, the Los Angeles Lakers' star guard, got everything he wanted. Isn't that what everyone said last summer?",Sports
"Microsoft, Intel Plan Joint Campaign for Media Center. Under the advertising slogan  quot;Digital Joy, quot; Microsoft and Intel plan a national television advertising campaign in the US, with plans to take the campaign to other countries next year.",Sci/Tech
"Thatcher back in court today to challenge subpoena. Mark Thatcher, the British businessman, is back in the Cape High Court today to challenge a subpoena demanding answers about his alleged involvement in a plot to overthrow the government of Equatorial Guinea.",World
"Recording Industry Files 750 More File-Sharing Lawsuits. The Recording Industry Association of America (RIAA) has revived its long-running crackdown on file-swapping through legal action, suing 750 alleged filing copyright infrigement suits again ",Sci/Tech
"Injured Carter Leads Jets to Victory. Quincy Carter left with a head injury after the third play of the game, but returned to deliver the knockout blow, a 69-yard touchdown pass to Santana Moss.",Sports
Cassini has another successful Titan flyby. The Cassini spacecraft completed a successful rendezvous with Saturn #39;s moon Titan today. This was the last pass before the European Space Agency #39;s Huygens probe is sprung loose from Cassini on Christmas Eve.,Sci/Tech
"IBM strikes out at Intel with new Opteron box. IDF Fall  #39;04 With the Intel Developer Forum rolling along in full force, IBM made the obvious decision to announce its next-generation server based on AMD #39;s Opteron processor.",Sci/Tech
"NetApp eases storage provisioning pain. Network Appliance Inc. has unveiled the next version of its operating system, DataOntap 7G, which includes two significant new features that improve provisioning and capacity utilization within its filers.",Sci/Tech
Qwest to Pay \$250 Million in Fraud Probe. Qwest agreed Thursday to settle with the Securities and Exchange Commission over charges that the company fraudulently booked \$3.8 billion in revenue over nearly three years.,Sci/Tech
Conoco Wins \$2 Bln Russian LUKOIL Stake.  MOSCOW (Reuters) - ConocoPhillips said on Wednesday it was  seeking 20 percent of Russia's LUKOIL in a far-reaching  alliance that opens the way for the oil majors to tap vast  reserves in northern Russia and Iraq.,Business
"Marsh   McLennan CEO May Be Ousted - WSJ.  NEW YORK (Reuters) - The outside directors of Marsh    McLennan &lt;A HREF=""http://www.investor.reuters.com/FullQuote.aspx?ticker=MMC.N target=/stocks/quickinfo/fullquote""&gt;MMC.N&lt;/A&gt; have talked to New York's attorney general  about having its chief executive step aside amid a probe into  its business practices, the Wall Street Journal said on Friday.",Business
"Dynogen enters drug licensing deal. Dynogen Pharmaceuticals Inc. of Waltham said it licensed a late-stage drug candidate from Mitsubishi Pharma Corp. Terms weren't disclosed. The compound, pumosetrag, is thought to be helpful to patients suffering from a variety of gastrointestinal conditions, such as irritable bowel syndrome. Dynogen, a privately held firm, said it plans to start new clinical trials with pumosetrag next year. Mitsubishi, part ...",Business
"Twin Car Bombs Explode in Baghdad, Killing at Least 10. A car bomb exploded near an entrance to Baghdad's Green Zone, killing at least 10 people and wounding 76. Less than an hour later, a second car bomb blew up near the Baghdad Hotel.",World
"Pulitzer Hired Banker to Explore Sale.  PHILADELPHIA (Reuters) - Newspaper publisher Pulitzer Inc.  confirmed on Sunday it hired a financial adviser to help it  explore strategic options, including a possible sale of the  company.",Business
"Raiders Kicker Gets Contract Extension (AP). AP - Sebastian Janikowski finalized a  #36;10.5 million, five-year contract extension with the Oakland Raiders on Wednesday that makes him the highest paid placekicker in the NFL.",Sports
"Arafat not comatose but still in intensive care, spokesman says. A senior aide to Yasser Arafat said early Sunday the ailing Palestinian leader was not comatose but still in intensive care, adding to the confusion about his fragile health.",World
"Space station crew prepares for return home. ARKALYK, Kazakhstan A US-Russian space crew is preparing to leave the International Space Station and return to Earth, ending a six-month mission.",Sci/Tech
"Sins of Commissions. State insurance commissioners and the Securities and Exchange Commission joined an ever-widening probe of the insurance industry. Much of the focus remains on Marsh  amp; McLennan , the world #39;s largest insurance ",Business
Appeals court rules against Lexmark in cartridge case. NEW YORK - A federal appeals court on Tuesday struck a blow against Lexmark International Inc.'s attempt to protect its share of the lucrative market for refill printer cartridges.,Sci/Tech
"For O.D.B., Fun Was Too Much or Not at All. For hip-hop stars, there is nothing glamorous about being out of control. The late rapper burned hot in a world where stars are supposed to stay cool.",World
"Oracle readies integration splash (InfoWorld). InfoWorld - Oracle at the Oracle OpenWorld conference in San Francisco the week of Dec. 5 plans to unveil Oracle Integration, a product that combines the company #8217;s application server with several other technologies for integration and enablement of SOAs (service-oriented architectures).",Sci/Tech
